Nick,BAN,Occurrence,B_oldname,Y_oldname,H_oldname,A_oldname
uL1,uL1,BAE,L1,L1,L10A,L1
uL2,uL2,BAE,L2,L2,L8,L2
uL3,uL3,BAE,L3,L3,L3,L3
uL4,uL4,BAE,L4,L4,L4,L4
uL5,uL5,BAE,L5,L11,L11,L5
uL6,uL6,BAE,L6,L9,L9,L6
bL9,bL9,B,L9,,,
uL10,uL10,BAE,L10,P0,P0,L10
uL11,uL11,BAE,L11,L12,L12,L11
bL12,bL12,B,L7/L12,,,
uL13,uL13,BAE,L13,L16,L13A,L13
uL14,uL14,BAE,L14,L23,L23,L14
uL15,uL15,BAE,L15,L28,L27A,L15
uL16,uL16,BAE,L16,L10,L10,L10e
bL17,bL17,B,L17,,,
uL18,uL18,BAE,L18,L5,L5,L18
bL19,bL19,B,L19,,,
bL20,bL20,B,L20,,,
bL21,bL21,B,L21,,,
uL22,uL22,BAE,L22,L17,L17,L22
uL23,uL23,BAE,L23,L25,L23A,L23
uL24,uL24,BAE,L24,L26,L26,L24
bL25,bL25,B,L25,,,
bL27,bL27,B,L27,,,
bL28,bL28,B,L28,,,
uL29,uL29,BAE,L29,L35,L35,L29
uL30,uL30,BAE,L30,L7,L7,L30
bL31,bL31,B,L31,,,
bL32,bL32,B,L32,,,
bL33,bL33,B,L33,,,
bL34,bL34,B,L34,,,
bL35,bL35,B,L35,,,
bL36,bL36,B,L36,,,
eL6,eL6,E,,L6,L6,
aL8,eL8,AE,,L8,L7A,L7Ae
aL13,eL13,AE,,L13,L13,L13e
aL14,eL14,AE,,L14,L14,L14e
aL15,eL15,AE,,L15,L15,L15e
aL18,eL18,AE,,L18,L18,L18e
aL19,eL19,AE,,L19,L19,L19e
aL20,eL20,AE,,L20,L18A,L18Ae
aL21,eL21,AE,,L21,L21,L21e
eL22,eL22,E,,L22,L22,
aL24,eL24,AE,,L24,L24,L24e
eL27,eL27,E,,L27,L27,
eL28,eL28,E,,,L28,
eL29,eL29,E,,L29,L29,
aL30,eL30,AE,,L30,L30,L30e
aL31,eL31,AE,,L31,L31,L31e
aL32,eL32,AE,,L32,L32,L32e
aL33,eL33,AE,,L33,L35A,L35Ae
aL34,eL34,AE,,L34,L34,L34e
eL36,eL36,E,,L36,L36,
aL37,eL37,AE,,L37,L37,L37e
aL38,eL38,AE,,L38,L38,L38e
aL39,eL39,AE,,L39,L39,L39e
aL40,eL40,AE,,L40,L40,L40e
aL41,eL41,AE,,L41,L41,L41e
aL42,eL42,AE,,L42,L36A,L44e
aL43,eL43,AE,,L43,L37A,L37Ae
aLP1,P1,AE,,P1,P1,P1
aLP2,P2,AE,,P2,P2,P2
mL37,mL37,m,,,MRPL37,
mL38,mL38,m,,MRPL35,MRPL38,
mL39,mL39,m,,,MRPL39,
mL40,mL40,m,,MRPL28,MRPL40,
mL41,mL41,m,,MRPL27,MRPL41,
mL42,mL42,m,,,MRPL42,
mL43,mL43,m,,MRPL51,MRPL43,
mL44,mL44,m,,MRPL3,MRPL44,
mL45,mL45,m,,,MRPL45,
mL46,mL46,m,,MRPL17,MRPL46,
mL48,mL48,m,,,MRPL48,
mL49,mL49,m,,IMG2,MRPL49,
mL50,mL50,m,,MRPL13,MRPL50,
mL51,mL51,m,,,MRPL51,
mL52,mL52,m,,,MRPL52,
mL53,mL53,m,,MRPL44,MRPL53,
mL54,mL54,m,,MRPL37,MRPL54,
mL57,mL57,m,,MRPL15,,
mL58,mL58,m,,MRPL20,,
mL59,mL59,m,,MRPL25,,
mL60,mL60,m,,MRPL31,,
mL61,mL61,m,,MRP49,,
mL62,mL62,m,,,MRPL58;ICT1,
mL63,mL63,m,,,MRPL57;MRP63,
mL64,mL64,m,,,MRPL59;CRIF1,
mL65,mL65,m,,,MRPS30;PDCD9,
mL66,mL66,m,,,MRPS18A,
mLMHR1,MHR1,m,,MHR1,,
uL1m,uL1m,m,L1,MRPL1,MRPL1,
uL2m,uL2m,m,L2,RML2,MRPL2,
uL3m,uL3m,m,L3,MRPL9,MRPL3,
