taxgroup_id	groupLevel	groupName	taxid
2157	superkingdom	Archaea	2157
2	superkingdom	Bacteria	2
2759	superkingdom	Eukaryota	2759
28889	phylum	Crenarchaeota	28889
28890	phylum	Euryarchaeota	28890
192989	phylum	Nanoarchaeota	192989
1224	phylum	Proteobacteria	1224
1117	phylum	Cyanobacteria	1117
1239	phylum	Firmicutes	1239
976	phylum	Bacteroidetes	976
201174	phylum	Actinobacteria	201174
204428	phylum	Chlamydiae	204428
1090	phylum	Chlorobi	1090
200795	phylum	Chloroflexi	200795
1297	phylum	Deinococcus-Thermus	1297
32066	phylum	Fusobacteria	32066
544448	phylum	Tenericutes	544448
203682	phylum	Planctomycetes	203682
200918	phylum	Thermotogae	200918
203691	phylum	Spirochaetes	203691
10190	phylum	Rotifera	10190
6656	phylum	Arthropoda	6656
35493	phylum	Streptophyta	35493
6231	phylum	Nematoda	6231
5794	phylum	Apicomplexa	5794
7711	phylum	Chordata	7711
4890	phylum	Ascomycota	4890
2836	phylum	Bacillariophyta	2836
1462422	phylum	Candidatus Parvarchaeota	1462422
1801631	phylum	Candidatus Micrarchaeota	1801631
743725	phylum	Candidatus Diapherotrites	743725
1801616	phylum	Candidatus Woesearchaeota	1801616
651137	phylum	Thaumarchaeota	651137
183924	class	Thermoprotei	183924
183988	class	Methanopyri	183988
183980	class	Archaeoglobi	183980
183963	class	Halobacteria	183963
183925	class	Methanobacteria	183925
183939	class	Methanococci	183939
224756	class	Methanomicrobia	224756
183968	class	Thermococci	183968
183967	class	Thermoplasmata	183967
1236	class	Gammaproteobacteria	1236
28211	class	Alphaproteobacteria	28211
28216	class	Betaproteobacteria	28216
91061	class	Bacilli	91061
200643	class	Bacteroidia	200643
1760	class	Actinobacteria	1760
204429	class	Chlamydiia	204429
191410	class	Chlorobia	191410
768503	class	Cytophagia	768503
301297	class	Dehalococcoidia	301297
188787	class	Deinococci	188787
203490	class	Fusobacteriia	203490
28221	class	Deltaproteobacteria	28221
307596	class	Gloeobacteria	307596
29547	class	Epsilonproteobacteria	29547
31969	class	Mollicutes	31969
203683	class	Planctomycetia	203683
186801	class	Clostridia	186801
188708	class	Thermotogae	188708
203692	class	Spirochaetia	203692
44578	class	Bdelloidea	44578
50557	class	Insecta	50557
119089	class	Chromadorea	119089
1280412	class	Conoidasida	1280412
2797	class	Bangiophyceae	2797
186623	class	Actinopteri	186623
4891	class	Saccharomycetes	4891
8782	class	Aves	8782
40674	class	Mammalia	40674
4447	class	Liliopsida	4447
422676	class	Aconoidasida	422676
147554	class	Schizosaccharomycetes	147554
6020	class	Oligohymenophorea	6020
33836	class	Coscinodiscophyceae	33836
8292	class	Amphibia	8292
114380	order	Desulfurococcales	114380
2266	order	Thermoproteales	2266
2281	order	Sulfolobales	2281
68985	order	Methanopyrales	68985
2231	order	Archaeoglobales	2231
2235	order	Halobacteriales	2235
1644055	order	Haloferacales	1644055
2158	order	Methanobacteriales	2158
2182	order	Methanococcales	2182
2191	order	Methanomicrobiales	2191
94695	order	Methanosarcinales	94695
1890940	order	Nanoarchaeales	1890940
2258	order	Thermococcales	2258
2301	order	Thermoplasmatales	2301
72274	order	Pseudomonadales	72274
356	order	Rhizobiales	356
1161	order	Nostocales	1161
206389	order	Rhodocyclales	206389
1385	order	Bacillales	1385
171549	order	Bacteroidales	171549
85004	order	Bifidobacteriales	85004
91347	order	Enterobacterales	91347
80840	order	Burkholderiales	80840
204458	order	Caulobacterales	204458
51291	order	Chlamydiales	51291
191411	order	Chlorobiales	191411
118969	order	Legionellales	118969
1118	order	Chroococcales	1118
768507	order	Cytophagales	768507
1202465	order	Dehalococcoidales	1202465
118964	order	Deinococcales	118964
203491	order	Fusobacteriales	203491
69541	order	Desulfuromonadales	69541
307595	order	Gloeobacterales	307595
204441	order	Rhodospirillales	204441
135625	order	Pasteurellales	135625
213849	order	Campylobacterales	213849
85006	order	Micrococcales	85006
1191478	order	Magnetococcales	1191478
186328	order	Entomoplasmatales	186328
85007	order	Corynebacteriales	85007
206351	order	Neisseriales	206351
32003	order	Nitrosomonadales	32003
204457	order	Sphingomonadales	204457
85009	order	Propionibacteriales	85009
204455	order	Rhodobacterales	204455
112	order	Planctomycetales	112
135622	order	Alteromonadales	135622
186826	order	Lactobacillales	186826
186802	order	Clostridiales	186802
1890424	order	Synechococcales	1890424
68295	order	Thermoanaerobacterales	68295
2419	order	Thermotogales	2419
68933	order	Thermales	68933
136	order	Spirochaetales	136
135623	order	Vibrionales	135623
766	order	Rickettsiales	766
135614	order	Xanthomonadales	135614
104779	order	Adinetida	104779
7147	order	Diptera	7147
3699	order	Brassicales	3699
6236	order	Rhabditida	6236
75739	order	Eucoccidiorida	75739
265318	order	Cyanidiales	265318
7952	order	Cypriniformes	7952
2058949	order	Dictyosteliales	2058949
4892	order	Saccharomycetales	4892
8976	order	Galliformes	8976
589342	order	Pyrenomonadales	589342
9443	order	Primates	9443
7894	order	Coelacanthiformes	7894
5653	order	Kinetoplastida	5653
38605	order	Didelphimorphia	38605
9989	order	Rodentia	9989
38820	order	Poales	38820
5819	order	Haemosporida	5819
34346	order	Schizosaccharomycetales	34346
31277	order	Hymenostomatida	31277
33847	order	Thalassiosirales	33847
8342	order	Anura	8342
31932	order	Nitrosopumilales	31932
2272	family	Desulfurococcaceae	2272
2307	family	Pyrodictiaceae	2307
