"id","X1","Y1","X2","Y2","Fill","Stroke","StrokeWidth","StrokeLineJoin","StrokeMiterLimit","SS_Table"
"1","76.585","486.828","78.147","485.140",,"#221F1F","0.250","round","10.000","DROME_LSU"
"2","60.784","463.537","62.346","461.849",,"#221F1F","0.250","round","10.000","DROME_LSU"
"3","114.754","476.120","115.494","478.298",,"#221F1F","0.250","round","10.000","DROME_LSU"
"4","43.811","441.398","45.373","439.710",,"#221F1F","0.250","round","10.000","DROME_LSU"
"5","42.281","418.439","43.087","416.284",,"#221F1F","0.250","round","10.000","DROME_LSU"
"6","59.666","436.511","61.655","435.356",,"#221F1F","0.250","round","10.000","DROME_LSU"
"7","74.611","458.588","76.173","456.899",,"#221F1F","0.250","round","10.000","DROME_LSU"
"8","95.496","464.415","96.514","466.478",,"#221F1F","0.250","round","10.000","DROME_LSU"
"9","141.431","462.464","142.259","464.610",,"#221F1F","0.250","round","10.000","DROME_LSU"
"10","91.069","483.602","93.055","484.762",,"#221F1F","0.250","round","10.000","DROME_LSU"
"11","119.511","453.945","120.111","456.166",,"#221F1F","0.250","round","10.000","DROME_LSU"
"12","93.314","513.354","95.614","513.348",,"#221F1F","0.250","round","10.000","DROME_LSU"
"13","415.270","648.483","411.186","646.315",,"#221F1F","0.250","round","10.000","DROME_LSU"
"14","543.292","604.992","542.507","602.830",,"#221F1F","0.250","round","10.000","DROME_LSU"
"15","513.378","613.892","512.593","611.729",,"#221F1F","0.250","round","10.000","DROME_LSU"
"16","450.563","623.471","449.777","621.309",,"#221F1F","0.250","round","10.000","DROME_LSU"
"17","190.090","150.140","191.874","151.592",,"#221F1F","0.250","round","10.000","DROME_LSU"
"18","510.299","107.528","508.625","109.106",,"#221F1F","0.250","round","10.000","DROME_LSU"
"19","498.388","636.994","500.540","637.034",,"#221F1F","0.250","round","10.000","DROME_LSU"
"20","521.888","653.744","524.040","653.784",,"#221F1F","0.250","round","10.000","DROME_LSU"
"21","514.277","671.527","514.317","669.375",,"#221F1F","0.250","round","10.000","DROME_LSU"
"22","470.158","695.892","468.677","693.992",,"#221F1F","0.250","round","10.000","DROME_LSU"
"23","494.680","654.187","494.720","652.034",,"#221F1F","0.250","round","10.000","DROME_LSU"
"24","501.275","709.487","499.123","709.447",,"#221F1F","0.250","round","10.000","DROME_LSU"
"25","496.275","732.486","494.123","732.446",,"#221F1F","0.250","round","10.000","DROME_LSU"
"26","476.546","720.046","476.506","722.198",,"#221F1F","0.250","round","10.000","DROME_LSU"
"27","449.712","710.879","449.672","713.031",,"#221F1F","0.250","round","10.000","DROME_LSU"
"28","495.275","683.154","493.123","683.114",,"#221F1F","0.250","round","10.000","DROME_LSU"
"29","463.269","663.774","463.309","661.622",,"#221F1F","0.250","round","10.000","DROME_LSU"
"30","441.167","657.294","439.417","658.669",,"#221F1F","0.250","round","10.000","DROME_LSU"
"31","451.019","645.144","451.059","642.991",,"#221F1F","0.250","round","10.000","DROME_LSU"
"32","428.507","646.932","428.547","644.779",,"#221F1F","0.250","round","10.000","DROME_LSU"
"33","379.256","661.016","379.296","658.863",,"#221F1F","0.250","round","10.000","DROME_LSU"
"34","353.839","672.266","353.879","670.113",,"#221F1F","0.250","round","10.000","DROME_LSU"
"35","387.172","623.265","385.291","624.212",,"#221F1F","0.250","round","10.000","DROME_LSU"
"36","397.089","614.848","395.208","615.795",,"#221F1F","0.250","round","10.000","DROME_LSU"
"37","540.458","721.280","542.610","721.320",,"#221F1F","0.250","round","10.000","DROME_LSU"
"38","544.792","685.946","546.944","685.986",,"#221F1F","0.250","round","10.000","DROME_LSU"
"39","556.074","660.024","557.547","658.455",,"#221F1F","0.250","round","10.000","DROME_LSU"
"40","557.971","688.624","560.123","688.664",,"#221F1F","0.250","round","10.000","DROME_LSU"
"41","561.304","709.957","563.456","709.997",,"#221F1F","0.250","round","10.000","DROME_LSU"
"42","421.164","660.317","423.482","658.690",,"#221F1F","0.250","round","10.000","DROME_LSU"
"43","432.331","679.984","434.649","678.356",,"#221F1F","0.250","round","10.000","DROME_LSU"
"44","418.331","685.151","420.649","683.524",,"#221F1F","0.250","round","10.000","DROME_LSU"
"45","403.541","662.545","406.291","659.378",,"#221F1F","0.250","round","10.000","DROME_LSU"
"46","371.605","649.468","370.474","647.499",,"#221F1F","0.250","round","10.000","DROME_LSU"
"47","418.577","622.716","416.696","622.161",,"#221F1F","0.250","round","10.000","DROME_LSU"
"48","418.994","599.299","417.708","600.960",,"#221F1F","0.250","round","10.000","DROME_LSU"
"49","398.958","595.294","397.172","594.038",,"#221F1F","0.250","round","10.000","DROME_LSU"
"50","363.037","589.030","364.672","587.707",,"#221F1F","0.250","round","10.000","DROME_LSU"
"51","365.288","561.113","365.422","562.623",,"#221F1F","0.250","round","10.000","DROME_LSU"
"52","339.789","552.446","339.671","550.707",,"#221F1F","0.250","round","10.000","DROME_LSU"
"53","352.623","535.363","352.542","533.794",,"#221F1F","0.250","round","10.000","DROME_LSU"
"54","374.486","551.271","373.871","550.030",,"#221F1F","0.250","round","10.000","DROME_LSU"
"55","379.209","532.444","379.292","535.527",,"#221F1F","0.250","round","10.000","DROME_LSU"
"56","357.042","500.544","354.167","500.544",,"#221F1F","0.250","round","10.000","DROME_LSU"
"57","381.038","464.530","378.876","464.592",,"#221F1F","0.250","round","10.000","DROME_LSU"
"58","369.290","413.353","367.837","414.954",,"#221F1F","0.250","round","10.000","DROME_LSU"
"59","356.167","400.544","354.001","401.092",,"#221F1F","0.250","round","10.000","DROME_LSU"
"60","363.792","423.919","361.626","424.467",,"#221F1F","0.250","round","10.000","DROME_LSU"
"61","356.038","448.405","353.876","448.467",,"#221F1F","0.250","round","10.000","DROME_LSU"
"62","356.292","475.544","353.667","474.794",,"#221F1F","0.250","round","10.000","DROME_LSU"
"63","449.011","697.802","451.329","696.175",,"#221F1F","0.250","round","10.000","DROME_LSU"
"64","345.805","532.205","347.366","530.517",,"#221F1F","0.250","round","10.000","DROME_LSU"
"65","340.458","500.858","342.757","500.837",,"#221F1F","0.250","round","10.000","DROME_LSU"
"66","341.186","476.797","342.747","475.108",,"#221F1F","0.250","round","10.000","DROME_LSU"
"67","342.556","451.153","339.302","451.180",,"#221F1F","0.250","round","10.000","DROME_LSU"
"68","334.452","392.084","331.198","392.110",,"#221F1F","0.250","round","10.000","DROME_LSU"
"69","313.362","409.878","310.108","409.903",,"#221F1F","0.250","round","10.000","DROME_LSU"
"70","320.207","389.710","317.505","391.523",,"#221F1F","0.250","round","10.000","DROME_LSU"
"71","332.385","443.292","332.814","441.032",,"#221F1F","0.250","round","10.000","DROME_LSU"
"72","321.680","457.718","318.426","457.744",,"#221F1F","0.250","round","10.000","DROME_LSU"
"73","321.680","489.013","318.426","489.039",,"#221F1F","0.250","round","10.000","DROME_LSU"
"74","322.219","516.099","318.965","516.125",,"#221F1F","0.250","round","10.000","DROME_LSU"
"75","324.937","542.496","321.683","542.522",,"#221F1F","0.250","round","10.000","DROME_LSU"
"76","324.285","573.454","321.031","573.480",,"#221F1F","0.250","round","10.000","DROME_LSU"
"77","322.550","600.297","319.495","599.175",,"#221F1F","0.250","round","10.000","DROME_LSU"
"78","308.042","599.536","305.348","601.362",,"#221F1F","0.250","round","10.000","DROME_LSU"
"79","307.958","570.610","305.082","572.131",,"#221F1F","0.250","round","10.000","DROME_LSU"
"80","308.147","546.762","304.893","546.788",,"#221F1F","0.250","round","10.000","DROME_LSU"
"81","306.521","519.729","304.418","522.212",,"#221F1F","0.250","round","10.000","DROME_LSU"
"82","306.207","491.813","302.953","491.839",,"#221F1F","0.250","round","10.000","DROME_LSU"
"83","305.781","471.519","307.880","464.978",,"#221F1F","0.250","round","10.000","DROME_LSU"
"84","303.159","476.731","300.783","474.509",,"#221F1F","0.250","round","10.000","DROME_LSU"
"85","283.457","499.909","281.429","502.454",,"#221F1F","0.250","round","10.000","DROME_LSU"
"86","304.018","513.855","302.300","516.619",,"#221F1F","0.250","round","10.000","DROME_LSU"
"87","285.478","524.982","282.824","523.099",,"#221F1F","0.250","round","10.000","DROME_LSU"
"88","285.778","554.353","282.524","554.379",,"#221F1F","0.250","round","10.000","DROME_LSU"
"89","272.065","569.494","269.517","571.515",,"#221F1F","0.250","round","10.000","DROME_LSU"
"90","269.788","542.764","266.534","542.790",,"#221F1F","0.250","round","10.000","DROME_LSU"
"91","274.949","496.905","272.453","498.993",,"#221F1F","0.250","round","10.000","DROME_LSU"
"92","287.047","458.697","283.793","458.724",,"#221F1F","0.250","round","10.000","DROME_LSU"
"93","322.601","430.471","319.493","429.505",,"#221F1F","0.250","round","10.000","DROME_LSU"
"94","342.822","417.829","340.125","416.009",,"#221F1F","0.250","round","10.000","DROME_LSU"
"95","341.706","395.564","338.762","396.949",,"#221F1F","0.250","round","10.000","DROME_LSU"
"96","303.952","659.257","300.698","659.283",,"#221F1F","0.250","round","10.000","DROME_LSU"
"97","323.835","713.100","320.901","711.691",,"#221F1F","0.250","round","10.000","DROME_LSU"
"98","313.657","675.823","311.267","673.617",,"#221F1F","0.250","round","10.000","DROME_LSU"
"99","321.549","688.953","319.907","686.145",,"#221F1F","0.250","round","10.000","DROME_LSU"
"100","286.508","720.058","288.061","717.199",,"#221F1F","0.250","round","10.000","DROME_LSU"
"101","344.150","663.674","341.751","665.872",,"#221F1F","0.250","round","10.000","DROME_LSU"
"102","265.160","728.022","263.296","725.354",,"#221F1F","0.250","round","10.000","DROME_LSU"
"103","237.527","741.228","235.664","738.560",,"#221F1F","0.250","round","10.000","DROME_LSU"
"104","232.328","727.260","230.464","724.592",,"#221F1F","0.250","round","10.000","DROME_LSU"
"105","254.663","708.216","252.799","705.548",,"#221F1F","0.250","round","10.000","DROME_LSU"
"106","266.310","700.012","266.582","696.770",,"#221F1F","0.250","round","10.000","DROME_LSU"
"107","241.499","695.119","243.590","692.627",,"#221F1F","0.250","round","10.000","DROME_LSU"
"108","211.958","690.093","212.547","686.894",,"#221F1F","0.250","round","10.000","DROME_LSU"
"109","181.656","677.741","184.909","677.795",,"#221F1F","0.250","round","10.000","DROME_LSU"
"110","211.958","675.190","212.547","671.991",,"#221F1F","0.250","round","10.000","DROME_LSU"
"111","237.827","679.727","238.125","676.487",,"#221F1F","0.250","round","10.000","DROME_LSU"
"112","270.142","683.468","269.997","680.219",,"#221F1F","0.250","round","10.000","DROME_LSU"
"113","290.090","665.206","286.836","665.232",,"#221F1F","0.250","round","10.000","DROME_LSU"
"114","264.741","492.038","261.772","493.369",,"#221F1F","0.250","round","10.000","DROME_LSU"
"115","265.386","529.772","262.132","529.798",,"#221F1F","0.250","round","10.000","DROME_LSU"
"116","250.886","508.771","247.632","508.798",,"#221F1F","0.250","round","10.000","DROME_LSU"
"117","191.011","512.647","187.757","512.673",,"#221F1F","0.250","round","10.000","DROME_LSU"
"118","237.886","480.396","234.632","480.423",,"#221F1F","0.250","round","10.000","DROME_LSU"
"119","184.832","451.462","182.187","453.356",,"#221F1F","0.250","round","10.000","DROME_LSU"
"120","205.578","471.636","203.440","469.183",,"#221F1F","0.250","round","10.000","DROME_LSU"
"121","187.693","474.194","185.555","471.741",,"#221F1F","0.250","round","10.000","DROME_LSU"
"122","159.564","460.395","158.269","457.408",,"#221F1F","0.250","round","10.000","DROME_LSU"
"123","165.281","442.527","163.986","439.541",,"#221F1F","0.250","round","10.000","DROME_LSU"
"124","184.619","409.271","185.547","406.150",,"#221F1F","0.250","round","10.000","DROME_LSU"
"125","186.195","397.359","188.221","394.812",,"#221F1F","0.250","round","10.000","DROME_LSU"
"126","199.320","389.609","201.346","387.062",,"#221F1F","0.250","round","10.000","DROME_LSU"
"127","204.580","380.993","207.834","380.927",,"#221F1F","0.250","round","10.000","DROME_LSU"
"128","218.830","380.743","222.084","380.677",,"#221F1F","0.250","round","10.000","DROME_LSU"
"129","231.413","373.461","231.501","370.208",,"#221F1F","0.250","round","10.000","DROME_LSU"
"130","276.584","349.332","276.331","346.087",,"#221F1F","0.250","round","10.000","DROME_LSU"
"131","233.580","329.828","236.834","329.842",,"#221F1F","0.250","round","10.000","DROME_LSU"
"132","214.205","318.453","217.459","318.467",,"#221F1F","0.250","round","10.000","DROME_LSU"
"133","198.854","315.780","201.811","317.140",,"#221F1F","0.250","round","10.000","DROME_LSU"
"134","181.927","294.706","184.487","296.714",,"#221F1F","0.250","round","10.000","DROME_LSU"
"135","171.302","280.081","173.862","282.089",,"#221F1F","0.250","round","10.000","DROME_LSU"
"136","154.177","315.280","156.987","313.639",,"#221F1F","0.250","round","10.000","DROME_LSU"
"137","149.797","293.309","151.617","290.610",,"#221F1F","0.250","round","10.000","DROME_LSU"
"138","144.766","263.860","145.898","260.809",,"#221F1F","0.250","round","10.000","DROME_LSU"
"139","178.766","240.860","179.898","237.809",,"#221F1F","0.250","round","10.000","DROME_LSU"
"140","190.524","224.336","190.641","221.084",,"#221F1F","0.250","round","10.000","DROME_LSU"
"141","207.641","237.860","208.773","234.809",,"#221F1F","0.250","round","10.000","DROME_LSU"
"142","197.891","219.235","199.023","216.184",,"#221F1F","0.250","round","10.000","DROME_LSU"
"143","212.100","211.922","212.814","208.748",,"#221F1F","0.250","round","10.000","DROME_LSU"
"144","227.213","199.748","229.201","197.172",,"#221F1F","0.250","round","10.000","DROME_LSU"
"145","242.330","183.317","245.584","183.353",,"#221F1F","0.250","round","10.000","DROME_LSU"
"146","223.398","164.202","225.767","161.970",,"#221F1F","0.250","round","10.000","DROME_LSU"
"147","205.936","157.887","203.980","155.285",,"#221F1F","0.250","round","10.000","DROME_LSU"
"148","238.260","207.782","236.054","205.389",,"#221F1F","0.250","round","10.000","DROME_LSU"
"149","202.501","252.565","201.265","249.554",,"#221F1F","0.250","round","10.000","DROME_LSU"
"150","180.908","264.048","182.756","261.370",,"#221F1F","0.250","round","10.000","DROME_LSU"
"151","131.352","272.961","131.313","269.707",,"#221F1F","0.250","round","10.000","DROME_LSU"
"152","203.455","283.199","206.709","283.221",,"#221F1F","0.250","round","10.000","DROME_LSU"
"153","241.955","361.828","245.209","361.842",,"#221F1F","0.250","round","10.000","DROME_LSU"
"154","252.330","354.953","255.584","354.967",,"#221F1F","0.250","round","10.000","DROME_LSU"
"155","265.740","334.671","268.924","333.999",,"#221F1F","0.250","round","10.000","DROME_LSU"
"156","234.241","412.291","236.673","410.128",,"#221F1F","0.250","round","10.000","DROME_LSU"
