id,LabelText,X,Y,Font,FontSize,Fill,SS_Table
1,5S,86.419,438.992,MyriadPro-Regular,21,#8EC642,DROME_LSU
2,VI,470.475,472.432,MyriadPro-Regular,21,#0EA44A,DROME_LSU
3,V,531.084,177.706,MyriadPro-Regular,21,#F29AC1,DROME_LSU
4,IV,336.815,123.715,MyriadPro-Regular,21,#E9E617,DROME_LSU
5,III,158.099,201.459,MyriadPro-Regular,21,#CC9BC6,DROME_LSU
6,II,134.131,567.815,MyriadPro-Regular,21,#5BA0D7,DROME_LSU
7,I,391.562,704.617,MyriadPro-Regular,21,#A097CA,DROME_LSU
8,0,341.475,340.963,MyriadPro-Regular,21,#FDC696,DROME_LSU
9,2S,532.637,577.83,MyriadPro-Regular,21,#B37744,DROME_LSU
10,5.8S,471.354,513.348,MyriadPro-Regular,21,#B37744,DROME_LSU
11,1,95.496,497.619,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
12,2,82.15,457.709,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
13,3,55.516,427.264,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
14,4,131.673,474.194,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
15,5,101.961,485.14,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
16,46,256.624,370.651,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
17,42,87.582,323.525,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
18,43,27.704,264.618,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
19,44,101.961,249.554,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
20,2,374.648,459.282,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
21,4,416.696,581.214,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
22,5,476.242,572.342,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
23,6,445.139,559.424,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
24,7,486.535,552.219,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
25,8,488.945,573.278,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
26,9,496.847,581.664,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
27,10,522.521,617.194,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
28,11,511.07,642.276,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
29,12,449.824,674.928,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
30,13,434.685,624.212,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
31,14,406.291,636.256,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
32,15,536.981,680.242,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
33,16,399.765,672.549,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
34,19,497.514,677.587,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
35,20,501.275,727.561,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
36,21,369.568,671.879,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
37,22,401.745,619.223,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
38,23,348.423,575.965,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
39,24,346.586,559.424,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
40,25,335.17,391.523,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
41,26,292.051,372.46,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
42,27,279.411,654.854,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
43,28,312.805,666.074,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
44,29,314.984,720.651,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
45,32,246.749,456.547,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
46,33,242.918,503.206,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
47,34,253.197,591.218,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
48,35,216.252,546.082,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
49,35a,225.737,503.573,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
50,36,240.898,408.918,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
51,37,226.143,470.621,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
52,38a,158.099,588.368,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
53,39,149.788,442.691,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
54,40,161.982,406.15,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
55,41,148.971,378.79,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
56,45,222.767,392.401,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
57,47,272.694,361.701,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
58,48,278.54,321.239,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
59,49,235.869,317.458,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
60,60,284.42,307.688,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
61,51,215.175,272.098,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
62,50,181.927,324.662,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
63,52,181.832,310.018,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
64,53,161.982,238.987,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
65,54,215.832,262.035,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
66,56,239.772,149.799,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
67,57,182.388,171.59,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
68,58,160.012,110.592,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
69,59,233.697,110.592,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
70,61,297.215,313.199,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
71,62,269.318,285.622,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
72,63,271.876,238.023,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
73,64,313.726,266.293,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
74,65,306.368,230.284,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
75,66,314.057,211.653,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
76,67,344.977,234.199,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
77,68,371.546,194.819,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
78,69,385.809,215.344,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
79,71,344.977,315.448,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
80,72,354.957,348.336,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
81,73,377.103,338.377,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
82,74,403.992,254.118,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
83,75,404.617,198.32,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
84,76,403.992,138.863,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
85,77,432.897,94.967,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
86,78,433.338,75.685,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
87,79,447.144,149.366,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
88,80,434.051,202.916,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
89,81,457.086,188.844,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
90,82,471.624,229.74,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
91,83,508.226,212.655,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
92,84,510.652,162.046,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
93,85,524.477,181.015,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
94,86,528.084,242.118,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
95,87,502.07,259.321,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
96,88,442.639,264.772,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
97,89,493.109,295.876,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
98,90,472.701,339.263,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
99,91,512.559,349.332,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
100,92,473.568,383.287,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
101,93,419.084,377.084,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
102,94,398.648,390.192,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
103,95,436.405,380.056,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
104,96,511.387,390.635,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
105,97,445.909,468.29,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
106,98ES39,502.391,423.244,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
107,99,422.204,444.167,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
108,100,430.944,419.772,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
109,101,438.685,488.372,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
110,25a,317,408.034,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
111,55,258.013,212.576,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
112,70,371.254,268.694,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
113,49a,261.849,293.309,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
114,49b,227.213,281.917,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
115,25ES7c,264.741,477.16,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
116,25ES7b,324.772,584.15,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
117,25ES7d,285.81,535.363,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
118,30,274.477,724.561,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
119,31ES9,212.177,663.674,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
120,38,171.201,479.715,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
121,38ES12,135.124,498.993,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
122,52ES19,123.038,245.535,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
123,54ES20c,165.018,228.402,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
124,63ES27,296.666,203.463,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
125,98es39a,543.17,378.54,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
126,98es39b,539.779,523.848,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
127,79ES31,484.775,143.023,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
128,79ES31b,538.771,112.957,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
129,79ES31a,501.751,55.908,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
130,25ES7e,271.076,582.523,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
131,38ES10,208.632,512.206,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
132,45ES15,161.982,355.234,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
133,54ES20a,177.375,201.334,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
134,54ES20b,211.069,192.236,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
135,63ES27a,309.408,72.285,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
136,63ES27b,322.201,137.744,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
137,18ES43,452.177,722.934,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
138,17,413.715,693.873,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
139,101ES41,435.986,536.551,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
140,10ES4,553.971,612.035,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
141,9ES3,509.859,564.067,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
142,30ES9,247.834,744.356,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
143,98,468.932,422.532,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
144,31,256.778,675.59,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
145,25ES7,326.994,413.765,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
146,28ES8,326.185,657.013,MyriadPro-Regular,5.5,#0D72B9,DROME_LSU
147,10,73.207,489.574,MyriadPro-Regular,3.5,#7F141D,DROME_LSU
148,20,57.252,466.344,MyriadPro-Regular,3.5,#7F141D,DROME_LSU
149,100,115.124,481.266,MyriadPro-Regular,3.5,#7F141D,DROME_LSU
150,40,41.995,415.739,MyriadPro-Regular,3.5,#7F141D,DROME_LSU
151,60,76.585,456.481,MyriadPro-Regular,3.5,#7F141D,DROME_LSU
